,"dielectric constant, ionic",split,Predicted
71,1.5597,train,1.8346171
72,1.6373,test,2.1175122
73,1.6626,train,2.1148834
74,1.6826,train,2.1637814
75,2.0689,train,2.6456609
76,2.005,test,2.6309493
77,2.288,train,1.5686902
78,1.8657,test,2.670835
79,3.2964,train,2.800164
80,3.8329,train,3.0778964
81,2.6198,train,2.5821774
82,2.1649,train,2.3784924
83,2.295,train,2.8499422
84,2.4491,train,3.0194347
85,2.915,train,2.4818501
86,2.0469,test,2.1352143
87,2.8608,train,1.7059331
88,2.1818,test,2.5548265
89,2.3614,train,2.84486
90,1.9069,train,2.7348952
91,1.9409,train,3.6042843
92,3.3169,train,3.1677547
93,2.8216,train,2.7152865
94,3.4337,train,3.8350687
95,4.1448,train,3.1697977
96,2.869,test,3.498915
97,3.0731,train,4.504799
98,3.7289,train,4.427554
99,2.5391,train,2.943999
100,4.5519,test,2.8261137
101,9.626,test,6.004117
102,2.7048,train,2.9157805
103,1.8945,train,2.38085
104,2.2809,train,2.4593365
105,2.4028,train,2.7335255
106,2.0821,train,2.3940792
107,2.4838,test,2.5030632
108,4.6243,train,2.700279
109,2.1929,test,2.7701356
110,2.3568,test,2.128198
111,3.3386,train,2.9119089
112,2.1089,train,2.1284533
113,2.9669,train,2.771752
114,1.9464,train,1.925143
115,1.7619,train,1.9332911
116,1.4715,train,1.8601811
117,2.1838,train,2.5643582
118,2.1683,train,1.7885087
119,3.3571,train,2.8776245
120,1.9615,test,2.6484363
121,1.4359,train,1.7612456
122,1.8622,train,2.121998
123,2.6687,train,3.4707391
124,2.8736,train,2.630004
125,2.7808,train,3.0273533
126,3.1141,train,2.5598667
127,2.5731,train,2.8250492
128,5.1766,train,5.8290434
129,2.6079,train,3.524475
130,3.1043,train,3.862428
131,2.7986,train,2.9973335
132,3.2535,train,3.4507685
133,2.9128,train,3.2103035
134,5.6656,train,4.0571404
135,3.2053,train,3.8004797
136,8.0435,test,6.8365307
137,5.1551,test,7.583414
138,4.2591,train,6.772233
139,7.4871,test,6.9360504
140,4.4666,train,6.21013
141,3.6418,test,4.0135045
142,5.3498,train,4.648253
143,4.9802,train,5.2478886
144,10.7367,train,8.407701
145,8.8913,train,9.288082
146,7.5328,train,7.71251
147,10.0885,train,9.529453
148,4.3725,train,4.975017
149,4.7224,train,5.542417
150,1.3896,train,1.1734533
151,1.3559,train,1.4378055
152,1.6142,train,1.8734138
153,10.4148,train,9.239646
154,9.7519,train,8.249204
155,5.201,train,6.7494736
156,7.6579,train,7.313944
157,4.7896,train,5.3971214
158,7.8365,test,4.244967
159,1.7479,train,2.2546446
160,1.8937,train,2.397675
161,1.8361,train,2.0869615
162,1.8221,train,1.791274
163,1.654,train,1.963405
164,1.8019,train,1.7318741
165,1.5472,test,1.4791826
166,2.1592,train,2.2994149
167,2.954,train,1.849112
168,2.8412,test,3.021905
169,3.1597,train,3.183134
170,2.951,train,2.6712415
171,2.2118,train,2.7066884
172,2.388,train,3.0734673
173,3.6613,train,3.0363376
174,3.2688,test,2.9651954
175,2.7202,train,2.7599256
176,3.0037,train,2.7320204
177,3.3206,train,3.7100477
178,7.4221,test,6.5833726
179,2.2302,train,2.2017407
180,1.97,train,2.0069063
181,3.0786,train,3.525311
182,3.0601,train,3.2963655
183,2.3119,train,2.3752828
184,5.0268,test,5.4781475
185,4.1407,train,5.325478
186,6.09,train,3.4558682
187,4.6642,train,5.389539
188,5.0412,train,4.3777256
189,4.2848,train,4.367448
190,4.771,train,5.397913
191,2.5894,train,2.9880898
192,5.6465,test,4.438221
193,4.0099,train,4.7405605
194,6.3483,train,6.1975675
195,3.0116,train,3.9025257
196,2.0945,train,2.7982566
197,2.5656,train,3.0057995
198,2.6344,test,3.169334
199,2.8785,test,2.8912916
200,2.2522,train,2.7928648
201,3.7459,train,2.812173
202,2.4895,train,2.688592
203,2.3235,train,2.031062
204,3.1575,train,2.5756254
205,3.7155,train,2.9620283
206,1.8107,train,2.433618
207,2.3577,train,1.9658939
208,4.2621,test,2.9163213
209,2.2023,test,2.3256443
210,1.8206,test,2.366743
211,1.5914,train,1.936378
212,2.2667,train,2.9414613
213,2.4398,test,2.1823087
214,3.2984,train,3.29726
215,3.1588,test,3.247622
216,2.6578,train,2.7372448
217,2.3105,train,2.9840784
218,1.9653,test,2.4662688
219,3.3817,train,3.6266885
220,3.2584,train,2.423424
221,3.1623,test,4.2000904
222,2.8979,train,2.7489142
223,2.7673,train,3.8317974
224,3.7061,train,3.693038
225,4.4497,train,4.5273266
226,3.3441,train,3.8398423
227,3.877,train,3.9450848
228,2.7905,train,3.4656968
229,2.7496,train,3.012595
230,3.8556,train,3.744922
231,3.7209,test,3.5064864
232,10.0882,train,5.168087
233,2.1153,train,2.7501676
234,9.4381,train,8.701093
235,6.8378,test,5.2155156
236,8.9226,train,7.995687
237,9.1169,test,7.6845045
238,5.6631,train,6.9406977
239,4.1292,train,4.2821302
240,5.4452,train,5.2173667
241,6.826,train,5.355603
242,9.2078,train,8.899773
243,5.4093,train,6.241864
244,8.2156,test,8.0770235
245,1.5646,train,1.5136101
246,1.4338,train,1.7288003
247,1.6517,test,1.55551
248,11.349,train,9.967736
249,10.1162,test,7.9470935
250,6.6029,train,7.119418
251,7.9144,train,7.442363
252,9.5188,train,8.824881
253,6.377,train,5.1571074
254,10.1411,test,8.424733
255,11.0858,train,8.920137
256,1.959,test,2.7095635
257,1.9429,train,2.4159641
258,2.4949,train,2.468311
259,2.9974,train,2.49992
260,2.1921,test,1.6178243
261,1.726,test,1.8764149
262,1.5791,train,1.6878865
263,2.5447,train,4.043675
264,2.0893,train,2.2956119
265,3.8747,test,3.5158086
266,3.2783,train,3.9175928
267,4.4692,train,3.7407184
268,3.6339,train,4.0342226
269,2.7479,train,3.7176402
270,2.7839,train,4.2418833
271,4.0119,train,4.5187626
272,5.306,train,4.8700805
273,5.3191,train,4.53113
274,5.5654,train,4.4881954
275,5.3276,test,4.6198826
276,2.34,train,2.8534372
277,5.7774,test,6.140965
278,6.9429,train,6.7817926
279,2.2949,train,2.7315648
280,2.3326,test,2.21095
281,3.9946,train,4.08208
282,3.1089,train,2.4448864
283,2.495,train,2.386262
284,2.5739,train,1.9287146
285,5.0976,train,5.4191675
286,4.3495,test,4.8129773
287,7.7625,train,6.7229614
288,4.7726,train,4.5361614
289,8.8365,test,6.873396
290,10.1581,test,7.066854
291,6.5688,train,7.1213813
292,4.063,test,4.2686944
293,11.4376,train,9.792593
294,8.3421,test,5.998662
295,9.6976,train,6.459865
296,5.1428,train,6.7162457
297,3.9196,train,4.638444
298,2.7556,test,2.8016226
299,2.7582,test,3.3040583
300,2.9977,train,3.310939
301,3.6328,train,3.6169105
302,2.5872,train,3.074295
303,4.066,train,3.5615637
304,3.425,train,3.9955864
305,4.7807,test,2.7878714
306,2.7473,train,3.1697881
307,2.0582,test,3.2307293
308,2.8732,train,2.7819428
309,4.0594,test,3.1472268
310,2.7105,train,2.9200237
311,2.3385,train,2.9427695
312,1.8745,test,2.9314516
313,1.4154,train,1.732964
314,2.9424,test,2.6807003
315,2.6856,train,3.295558
316,3.9017,train,4.1607513
317,3.5394,train,3.5255382
318,3.3171,test,3.700542
319,3.6947,test,3.9065511
320,3.1511,train,3.7495952
321,3.8689,train,3.4813983
322,6.1389,train,5.2011356
323,4.9499,test,2.7527874
324,3.4998,train,3.5856693
325,2.9797,train,2.6895833
326,2.7659,train,3.1214848
327,4.8727,test,4.111221
328,4.5841,test,6.3352647
329,4.8894,test,5.234575
330,3.0229,train,3.1973376
331,2.8466,test,2.7170007
332,3.9949,test,3.9804916
333,5.4104,test,4.3323855
334,3.9113,test,3.1003244
335,6.8292,train,8.994311
336,6.9622,train,6.8299513
337,10.2076,train,9.597913
338,4.4988,train,5.2926335
339,5.3151,train,4.4189587
340,7.6061,train,9.0755205
341,10.4561,train,9.5863905
342,6.5949,test,6.776235
343,9.454,train,8.367377
344,1.9168,train,2.8841543
345,1.8382,train,2.6225443
346,9.8766,train,10.911837
347,11.3028,train,8.830097
348,8.4055,train,8.170522
349,4.972,train,6.584538
350,10.6,test,7.3265505
351,2.3332,test,3.2669225
352,2.1182,test,3.1364534
353,1.9089,train,2.1300833
354,2.3578,train,1.6843995
355,1.9061,train,2.791776
356,2.6787,train,4.6875353
357,2.1722,test,3.863921
358,4.1956,train,5.33559
359,2.7527,test,3.0554848
360,4.3133,train,3.7570572
361,3.5024,train,3.1278353
362,4.7816,test,3.6050763
363,4.9002,train,4.5418315
364,5.3212,train,6.7245445
365,3.8825,test,7.0528297
366,7.2585,train,7.174905
367,10.7509,train,8.246329
368,5.0654,train,4.8668895
369,3.5184,train,4.8619075
370,10.7637,test,8.79641
371,4.9179,test,7.511851
372,3.6025,train,3.317881
373,3.8807,train,3.1483972
374,5.2067,train,5.169535
375,5.0736,train,5.608695
376,2.8308,train,2.849888
377,5.4481,test,5.110072
378,4.4507,train,4.325509
379,3.5679,train,3.2396793
380,4.1576,train,3.9024553
381,3.8143,train,4.489813
382,4.4791,test,5.663742
383,5.734,train,6.88545
384,4.934,train,5.8004155
385,4.6641,train,5.4488597
386,5.7023,train,6.580477
387,5.1715,train,5.9836164
388,4.0959,test,5.8384213
389,4.4327,train,6.0862722
390,4.964,train,5.4945393
391,7.1245,train,4.6431365
392,8.5686,train,5.7901263
393,2.5527,train,3.2041876
394,2.6081,test,2.4900208
395,3.1142,train,2.9754362
396,3.7216,train,3.1335156
397,3.8557,train,6.2568545
398,3.6447,test,5.215043
399,3.3842,train,4.6029215
400,3.5685,train,3.9356031
401,4.6625,train,4.080084
402,4.7648,train,4.7587905
403,3.6632,train,2.945376
404,4.5071,test,4.9265184
405,2.4735,train,1.6247275
406,3.7221,train,5.269287
407,4.066,train,5.5580654
408,6.5148,test,5.196031
409,9.7381,train,7.6863785
410,4.1218,train,5.2486115
411,5.4426,test,5.736863
412,3.1719,train,3.908187
413,10.0704,train,8.219388
414,9.0859,train,7.7742634
415,5.0429,train,7.095661
416,4.2848,train,4.683483
417,5.1028,train,5.952723
418,4.8692,train,5.563835
419,4.4105,train,5.7509093
420,8.1927,train,7.7899904
421,8.4973,train,6.6901426
422,3.1702,train,4.60168
423,3.264,test,3.4904928
424,3.7808,train,4.540022
425,4.8518,test,5.775143
426,5.2948,train,5.4558897
427,8.0579,train,8.257063
428,5.9769,train,8.375645
429,6.4999,test,8.094765
430,7.1762,train,7.09456
431,10.7647,train,9.602098
432,5.7903,test,6.3087234
433,4.8748,train,5.0270057
434,7.5346,train,6.4554315
435,8.1741,train,8.699055
436,8.9544,train,9.271474
437,9.9445,train,10.669605
438,7.3388,train,7.5479846
439,1.5316,test,1.6404353
440,6.1203,train,7.729099
441,10.4907,train,10.560527
442,10.18,train,9.060829
443,1.7297,train,1.0213529
444,1.9817,test,2.9645083
445,1.8988,train,1.4641687
446,3.2393,train,3.9197767
447,2.1483,test,2.1388335
448,2.2621,train,4.869268
449,2.2446,train,2.5366995
450,6.2758,train,6.5144815
451,5.3049,test,6.8063254
452,4.9073,train,7.685231
453,3.3429,test,5.9548473
454,4.6888,train,6.0333943
455,5.0891,train,6.265634
456,4.6596,train,4.903842
457,10.5537,train,8.961508
458,9.0315,train,8.764817
459,8.7255,train,8.818463
460,9.5184,train,8.742708
461,6.7904,train,6.8528066
462,3.3353,test,5.181862
463,3.8145,train,3.6517742
464,10.9603,test,6.99347
465,9.6616,train,7.1677713
466,9.9792,train,7.324013
467,5.9185,train,6.1269946
468,6.1882,train,6.1392107
469,5.5663,train,5.8820615
470,10.4641,train,6.8874335
471,5.0083,train,6.847807
472,7.8054,train,6.6670895
473,5.3447,train,6.5830636
474,6.5252,train,7.1823153
475,6.2851,train,7.13968
476,7.6834,train,7.684084
477,4.5256,test,7.535827
478,2.9427,train,3.1875405
479,2.9799,train,4.079224
480,6.5081,train,5.3650002
481,4.2552,train,3.3833144
482,2.9057,test,3.5668113
483,4.5102,test,3.4628642
484,4.269,train,4.2592115
485,6.7006,test,7.629176
486,2.3868,test,3.3932576
487,3.8054,train,4.238211
488,3.245,train,3.9708471
489,4.7613,train,3.5241795
490,3.1093,test,3.3477054
491,2.5685,train,2.5330346
492,2.227,train,2.8044
493,2.3014,train,2.7932627
494,3.8326,test,4.298535
495,4.5332,test,3.2245703
496,3.1293,train,2.641438
497,4.8837,train,4.495931
498,2.0339,train,2.921466
499,3.2396,test,5.6329675
500,2.6121,test,5.8708572
501,5.7058,train,5.5731363
502,10.4505,train,7.313124
503,5.6923,train,5.9728355
504,5.9232,train,6.339654
505,5.9173,train,6.694925
506,9.1563,test,8.00246
507,8.7742,train,8.221323
508,8.4775,train,7.819765
509,6.817,train,7.502941
510,5.9447,train,6.9316025
511,8.3385,train,7.6339183
512,5.2863,train,6.76029
513,5.4779,train,6.732423
514,9.6511,test,9.084495
515,8.6272,train,8.350558
516,9.1812,train,8.801684
517,10.573,train,10.152263
518,10.2834,test,10.3624325
519,10.817,train,9.699859
520,2.0564,train,2.1865973
521,1.9159,train,1.967719
522,1.8058,train,2.7333577
523,11.6413,test,9.522735
524,11.2514,train,9.553572
525,11.1263,test,9.387882
526,3.5596,train,4.023505
527,3.5134,train,4.677281
528,4.0313,test,3.2583425
529,3.8269,train,2.9125054
530,2.6989,test,3.005035
531,2.3083,train,3.8606849
532,2.8322,train,2.9899886
533,2.2906,train,3.1999128
534,2.6202,train,3.2860725
535,2.7081,test,3.2591703
536,7.3878,train,7.134865
537,6.0929,train,7.5742774
538,6.6041,train,6.249755
539,4.007,train,5.1055827
540,6.2403,train,7.423953
541,6.2581,test,7.007559
542,7.2432,test,7.4076157
543,11.5718,test,6.3243623
544,10.1482,train,10.208402
545,4.4133,train,4.0368185
546,2.3085,train,2.9181385
547,4.9338,train,5.482931
548,3.8034,test,6.9321976
549,3.9474,test,6.538775
550,11.1486,train,10.1718025
551,10.076,train,10.146198
552,10.8537,test,10.168785
553,10.9835,train,9.276208
554,6.4228,test,8.110309
555,8.1589,train,8.450117
556,7.8229,train,8.5395565
557,8.7549,train,7.345809
558,9.7539,test,9.571846
559,9.681,train,8.699147
560,6.8417,train,8.319834
561,3.0355,train,4.097467
562,3.2333,train,5.176243
563,4.5382,train,5.627141
564,6.0102,train,4.787667
565,3.6,train,5.2286735
566,6.6817,train,4.849057
567,4.6425,train,4.2918806
568,3.0921,test,4.1261425
569,3.3511,train,4.982895
570,4.4649,test,4.206415
571,3.6308,train,4.805717
572,3.2282,train,3.5280511
573,3.0111,train,3.5366614
574,2.451,train,3.1606805
575,1.9118,test,3.0087147
576,4.6074,train,6.0199776
577,4.4304,train,4.3638964
578,3.6666,train,4.3874507
579,5.2069,train,5.240639
580,7.6888,train,6.1186533
581,6.9647,train,5.3645725
582,3.1978,train,3.371504
583,6.3037,train,5.548023
584,7.0232,test,5.5626903
585,6.3468,train,5.212747
586,8.9852,train,8.035866
587,6.4556,test,8.641705
588,8.4487,train,8.195355
589,6.134,train,8.572465
590,9.1612,train,8.212549
591,10.9409,test,9.119329
592,9.5776,train,8.812211
593,8.2661,train,8.928516
594,5.9146,test,9.578092
595,5.4974,test,8.066234
596,8.633,train,9.479271
597,7.9033,train,8.619083
598,9.2071,train,8.639383
599,8.5581,train,9.090042
600,6.9668,train,8.389445
601,7.8287,train,8.515028
602,11.2372,train,10.188119
603,11.4825,test,11.592002
604,10.3539,train,10.122772
605,2.7421,train,3.235011
606,2.5445,train,3.0849686
607,2.0969,train,2.8399994
608,10.793,train,11.357859
609,10.1528,train,9.102108
610,11.6624,train,11.069628
611,11.0813,test,11.381936
612,9.6144,train,8.972869
613,4.3355,test,6.1471963
614,4.497,train,5.0857034
615,4.3664,train,4.635377
616,3.1524,train,4.8216996
617,3.1136,test,5.8540616
618,4.2138,test,5.5674343
619,2.2539,train,3.5971975
620,3.8022,train,6.943472
621,3.2649,test,5.0720286
622,3.2674,train,4.1596484
623,9.9178,train,9.462708
624,9.7017,train,8.558473
625,10.5824,train,9.64722
626,10.8717,test,9.812317
627,5.4976,train,7.189335
628,8.5143,train,10.053172
629,4.9401,train,5.3445997
630,3.7336,test,5.1113977
631,7.1567,test,6.403717
632,5.4536,train,6.9160676
633,7.9084,train,9.283951
634,7.7914,train,7.588292
635,9.3945,train,7.609606
636,11.4046,train,10.453843
637,9.988,train,9.3797035
638,7.2254,test,9.1221695
639,7.9801,train,9.136579
640,9.7678,train,10.3140955
641,8.6389,train,9.121643
642,8.4085,train,8.024973
643,6.9216,test,4.2846165
644,3.6318,train,4.815679
645,4.9015,train,6.0720077
646,10.3485,train,6.8906183
647,5.5281,train,6.344633
648,10.661,train,6.549292
649,6.3797,train,5.263565
650,3.4529,train,5.0421305
651,3.7341,train,5.007288
652,2.7267,test,3.3610315
653,7.2433,test,5.0338917
654,3.9323,train,4.415354
655,2.8259,test,3.1985807
656,1.8786,train,2.176258
657,5.9236,train,5.9351377
658,4.7725,train,6.137135
659,8.4948,train,6.603768
660,7.3691,test,5.566943
661,6.596,train,6.017042
662,7.949,test,8.7088175
663,5.8702,train,7.672171
664,6.1658,test,7.644908
665,5.3078,train,7.666142
666,8.2293,train,9.638954
667,10.102,test,9.23952
668,9.6582,test,8.911336
669,6.8409,train,8.297053
670,6.0608,train,7.837808
671,11.347,train,9.577374
672,6.6379,train,7.904493
673,7.2584,train,8.780209
674,4.4896,train,4.708164
675,9.6023,train,9.462894
676,11.1077,train,11.714146
677,11.394,test,11.041964
678,4.9882,train,4.3307767
679,3.5457,test,6.7120337
680,9.7291,test,11.94608
681,6.8686,train,8.109212
682,4.8859,train,6.7683606
683,5.3456,train,6.747174
684,5.3425,train,6.434261
685,5.3749,test,6.2590327
686,3.9639,train,5.260661
687,8.9985,test,6.914883
688,3.567,test,4.174751
689,9.2548,train,9.084493
690,6.5269,train,5.9063654
691,8.6928,train,9.1140375
692,10.1842,train,10.467183
693,11.5925,train,9.323811
694,8.9249,test,10.502849
695,11.4325,test,11.449672
696,6.7672,test,6.169495
697,6.4553,train,5.6013474
698,8.4075,train,7.5900674
699,9.1096,train,8.140802
700,7.9372,train,7.626434
701,7.2695,train,7.153722
702,7.4567,train,8.501259
703,8.3801,train,8.184372
704,8.1565,train,7.3668714
705,7.3636,train,7.7012196
706,9.7039,test,7.195922
707,6.5174,test,5.8387403
708,5.6405,train,5.9330244
709,4.8844,train,4.7960734
710,5.2309,train,6.542923
711,5.0182,train,5.0196953
712,5.3984,test,6.2921305
713,6.935,train,5.8846645
714,6.36,test,6.1777644
715,6.153,test,6.836971
716,7.2513,train,7.260085
717,6.4357,train,7.44017
718,3.0974,test,4.948739
719,4.7431,train,5.7470336
720,4.3804,test,4.8362255
721,3.7359,train,4.0215592
722,3.6797,test,4.13241
723,6.5243,train,4.7166553
724,6.8287,train,8.082946
725,4.3065,train,5.4589663
726,4.5902,train,5.54875
727,4.7427,train,4.561578
728,4.576,train,4.493174
729,2.6227,train,4.5218525
730,3.1538,train,4.312043
731,7.135,train,5.2380066
732,3.9563,test,5.299257
733,3.5242,train,3.8308609
734,3.8496,test,5.112826
735,6.0232,train,5.7466893
736,9.757,train,8.171863
737,5.8903,train,5.742874
738,3.5703,train,3.9088557
739,4.1634,test,6.5519347
740,5.2366,test,5.6569586
741,8.3329,train,8.449731
742,5.6293,train,4.470709
743,6.2377,train,6.067034
744,7.2876,train,6.191478
745,6.4186,test,5.617189
746,5.745,train,5.9913216
747,6.1767,train,5.4627934
748,6.8885,train,6.743433
749,6.6691,test,6.600289
750,7.3478,train,6.6689715
751,5.0429,train,5.549903
752,5.5817,test,7.306129
753,5.6624,train,6.5164056
754,5.4059,train,7.3670025
755,7.3612,test,7.67479
756,7.5799,train,7.6558347
757,7.7514,train,8.291856
758,6.5191,train,6.042614
759,7.6799,test,6.735833
760,7.3161,train,6.144113
761,7.4497,train,8.166369
762,7.1721,train,8.141035
763,8.5406,train,7.241812
764,9.7868,train,8.960446
765,6.7628,test,10.199514
766,8.8938,train,8.402306
767,9.7217,test,8.491175
768,6.8506,train,6.52516
769,2.1505,train,3.1087434
770,6.5178,train,7.5176134
771,9.8089,train,8.422404
772,8.4372,train,7.0951395
773,7.0125,train,7.10378
774,9.1568,train,8.30725
775,8.3295,train,7.259471
776,7.7055,train,7.2820663
777,8.6313,train,9.5058775
778,9.4592,train,8.50316
779,3.9588,train,4.3964963
780,3.081,train,3.483129
781,4.6956,test,3.2767148
782,4.3397,train,5.9083943
783,5.2521,train,6.31804
784,5.942,test,6.4041
785,4.0297,train,5.2084775
786,5.9798,train,6.0502453
787,8.4047,test,5.861954
788,5.1115,train,5.567531
789,4.9762,test,4.6826982
790,5.8075,test,5.7128363
791,5.3698,train,6.621959
792,6.0847,test,7.0159187
793,4.3954,test,5.799409
794,4.3822,train,4.0659213
795,4.7502,train,4.814425
796,4.6287,train,5.144681
797,5.766,train,6.615772
798,6.0111,train,6.8978558
799,5.7576,train,5.3054724
800,5.3626,train,5.4990215
801,9.2665,test,9.934877
802,6.3549,train,7.725219
803,5.9683,train,7.221773
804,8.5636,train,8.912338
805,6.2057,train,7.8050017
806,11.3099,train,9.240586
807,8.1246,train,7.7946043
808,6.5613,train,6.217369
809,10.0013,train,10.491606
810,10.1261,train,9.089361
811,7.1826,test,7.0327644
812,4.8749,train,6.5587196
813,5.5289,train,6.745674
814,8.9006,train,7.136695
815,6.8791,train,8.27373
816,4.9207,train,6.145707
817,5.379,train,7.865901
818,5.4168,train,5.7872295
819,5.8791,test,7.1494985
820,5.4319,test,6.077306
821,7.501,train,5.8788986
822,5.9612,train,5.8086
823,5.7644,train,4.856446
824,6.6429,test,5.886672
825,6.853,train,8.474972
826,7.9739,train,7.620186
827,5.5728,train,7.656715
828,8.9751,train,7.93469
829,8.5898,test,8.094963
830,8.8726,test,6.9278965
831,11.0041,train,7.363805
832,8.1371,train,6.7838693
833,9.6032,train,7.3246503
834,4.1968,train,5.6596785
835,7.5381,train,8.971571
836,7.2982,train,8.137737
837,7.6911,train,8.153331
838,9.2681,train,8.306386
839,10.9555,train,11.191537
840,6.902,train,7.576304
841,8.365,train,8.9000845
842,9.2448,train,9.57859
843,8.3055,test,9.321243
844,8.9966,train,9.138403
845,8.9136,test,8.927196
846,7.537,test,9.16656
847,9.5269,train,8.544375
848,7.6807,train,8.029705
849,9.0916,train,10.031398
850,8.2057,train,8.669765
851,7.2359,test,8.61415
852,8.9973,train,8.516876
853,7.7414,train,8.332486
854,10.7181,train,11.022507
855,10.2866,train,10.176853
856,4.751,train,6.499335
857,3.7482,train,5.8434086
858,2.6838,train,5.1082416
859,8.016,train,9.351885
860,10.6855,train,8.914259
861,10.6938,train,10.137555
862,8.2018,train,7.9100156
863,9.9953,train,9.927815
864,7.7308,train,8.593837
865,7.4381,train,8.820958
866,10.6798,train,10.156463
867,10.9435,train,9.944093
868,8.2903,test,9.56615
869,11.3812,train,11.233367
870,9.5148,train,9.468416
871,8.9883,train,8.116554
872,10.4361,train,8.218233
873,7.8279,train,7.9270086
874,11.3006,train,9.252785
875,4.3398,train,6.4387074
876,11.542,train,9.498148
877,5.4443,train,5.5517745
878,11.3416,train,8.007165
879,6.6097,train,8.040188
880,5.9948,train,7.389967
881,7.8004,test,8.850336
882,9.9109,train,10.102336
883,5.858,train,6.234698
884,6.2424,test,8.06295
885,10.9234,train,9.850343
886,6.4839,test,8.577578
887,6.7952,train,7.9379945
888,8.4213,train,7.4072204
889,7.2009,train,7.2344284
890,8.8621,test,10.435066
891,9.4708,test,11.230181
892,7.0512,train,7.9054956
893,6.3675,train,7.0582952
894,10.4481,test,8.4800825
895,6.8052,train,6.79734
896,7.5938,test,7.9282804
897,8.9528,train,7.636805
898,5.888,test,8.396243
899,6.0885,train,7.2447715
900,5.1107,test,6.647647
901,5.493,train,7.0446677
902,11.1731,test,8.503827
903,7.6984,test,9.474632
904,4.6992,train,5.4360375
905,4.4071,test,6.1041913
906,5.5012,train,6.23042
907,6.3098,train,7.659465
908,5.5522,train,6.0504026
909,5.6291,train,6.0259514
910,7.3732,train,6.005803
911,6.1303,train,6.0604877
912,9.4268,test,5.6714506
913,5.2661,train,5.955007
914,8.8294,train,9.606916
915,8.0889,train,8.889756
916,7.9685,train,9.020217
917,9.8165,train,9.033696
918,8.1146,test,6.858203
919,7.3105,train,6.6483254
920,4.0985,train,5.183597
921,7.0841,test,8.782906
922,7.636,train,8.164344
923,5.7241,test,8.146832
924,9.513,train,8.554167
925,5.9166,train,7.446661
926,7.4373,train,8.41538
927,10.3136,train,7.611606
928,9.4254,train,9.491297
929,8.6556,test,9.223369
930,10.4003,test,8.405711
931,7.2381,train,8.864813
932,10.6383,train,10.077956
933,10.5988,train,10.437143
934,9.4072,train,9.460094
935,9.2371,train,9.094588
936,8.6094,test,8.049864
937,9.7114,train,7.5226173
938,8.0873,train,7.3852286
939,4.4727,train,5.532949
940,9.2183,train,10.167556
941,9.9298,train,10.1257925
942,8.5918,train,8.248709
943,7.9521,test,8.843165
944,10.1026,train,9.5046215
945,10.1867,test,9.570134
946,9.5469,train,9.563266
947,4.7575,train,5.396187
948,11.3836,train,9.39555
949,6.3687,train,5.613022
950,11.4133,train,8.556915
951,7.1807,train,7.985137
952,5.7298,train,7.8501935
953,6.6599,train,8.277913
954,8.9167,train,7.395056
955,9.5628,train,9.478805
956,4.6941,test,5.4995675
957,5.5435,train,6.8459086
958,8.2707,train,6.626134
959,6.8173,test,6.7499933
960,8.9692,train,9.693743
961,9.3536,test,10.4142685
962,8.7629,test,7.545574
963,6.8905,train,6.9684854
964,7.3754,test,7.321339
965,6.5911,train,6.840379
966,7.0602,train,7.753
967,7.9324,train,6.440962
968,4.4654,train,6.7211447
