,relative energy1,split,Predicted
260,0.5346,train,0.5376376
261,0.5229,test,0.54973906
262,0.5245,train,0.5350129
263,0.5276,train,0.5233761
264,0.5271,train,0.5347047
265,0.5369,test,0.56811315
266,0.528,train,0.5567072
267,0.0406,train,0.1249501
268,0.0524,train,0.06955001
269,0.0477,train,0.044288855
270,0.0474,test,0.08522887
271,0.0535,train,0.037194178
272,0.5682,train,0.5545274
273,0.5694,train,0.5267412
274,0.5529,train,0.5593732
275,0.5756,test,0.5480696
276,0.5712,train,0.5817993
277,0.5541,test,0.51631963
278,0.5516,train,0.5505485
279,0.5736,train,0.58497435
280,0.5514,train,0.5484884
281,0.5523,train,0.5426935
282,0.5533,test,0.51544225
283,0.5519,train,0.58150256
284,0.5485,train,0.56207836
285,0.5521,train,0.5942477
286,0.5521,test,0.5918673
287,0.0787,train,0.08848137
288,0.08,train,0.09581856
289,0.0807,test,0.113182314
290,0.0809,train,0.11467556
291,0.0881,test,0.14649856
292,0.0932,train,0.09966975
293,0.0872,train,0.094006315
294,0.0934,train,0.11266277
295,0.0891,train,0.10033605
296,0.128,test,0.17944503
297,0.1291,test,0.22038263
298,0.1317,test,0.21587843
299,0.1308,train,0.18606329
300,0.1416,train,0.16081357
301,0.1401,train,0.1498239
302,0.1403,train,0.14717495
303,0.1444,test,0.15740702
304,0.1437,train,0.14767194
305,0.1438,train,0.14588287
306,0.1449,test,0.18008775
307,0.1443,train,0.1569061
308,0.147,test,0.17297879
309,0.1483,test,0.17363057
310,0.1478,train,0.15687874
311,0.1534,train,0.15527776
312,0.3505,test,0.36403537
313,0.35,train,0.36325023
314,0.3498,train,0.37305588
315,0.3473,train,0.36628357
316,0.3516,test,0.31972757
317,0.3512,train,0.3386604
318,0.3538,train,0.35835397
319,0.3515,train,0.3470907
320,0.3016,train,0.3291055
321,0.2999,train,0.32590538
322,0.3098,test,0.3551849
323,0.3087,train,0.31937522
324,0.3089,train,0.3253602
325,0.3085,train,0.3137832
326,0.306,train,0.32897273
327,0.317,train,0.3243717
328,0.3122,train,0.3295848
329,0.3096,train,0.3560535
330,0.321,train,0.27261624
331,0.3212,test,0.42032483
332,0.2029,train,0.20091727
333,0.1998,train,0.18401769
334,0.1995,train,0.18435425
335,0.1994,train,0.20069632
336,0.1995,train,0.19925731
337,0.2002,train,0.20085892
338,0.2038,train,0.1904414
339,0.2076,test,0.22946826
340,0.2107,train,0.20486066
341,0.2066,train,0.19094533
342,0.2065,test,0.2987947
343,0.2024,train,0.19438937
344,0.1262,test,0.08245696
345,0.1261,train,0.09091355
346,0.1254,test,0.107750125
347,0.1289,train,0.11123915
348,0.2016,train,0.2021831
349,0.1979,train,0.20535392
350,0.201,test,0.22394812
351,0.2011,test,0.21102211
352,0.2045,test,0.16092387
353,0.2075,test,0.18767095
354,0.2045,test,0.18241864
355,0.208,train,0.18835267
356,0.2071,train,0.20509154
357,0.2107,train,0.19698206
358,0.295,test,0.33307657
359,0.2958,train,0.33503693
360,0.2943,train,0.3141592
361,0.2994,test,0.31318235
362,0.308,train,0.30154377
363,0.3063,test,0.29226017
364,0.3082,train,0.3047231
365,0.3032,test,0.27891877
366,0.4167,train,0.46997547
367,0.4165,train,0.47099417
368,0.4191,train,0.46312392
369,0.4172,train,0.44090873
370,0.4228,test,0.3807268
371,0.4268,test,0.48234475
372,0.4647,train,0.49262723
373,0.4649,train,0.45799124
374,0.4744,test,0.5461681
375,0.4765,train,0.5002566
376,0.4751,train,0.46236548
377,0.4748,test,0.48347878
378,0.6319,train,0.6873039
379,0.6308,train,0.6557515
380,0.6274,test,0.55877435
381,0.7466,train,0.7791765
382,0.7303,test,0.719908
383,0.7313,train,0.75896287
384,0.7341,train,0.7733113
385,0.7416,train,0.75520176
386,0.739,train,0.77151793
387,0.7399,train,0.7591827
388,0.2123,train,0.26773518
389,0.2194,train,0.24299854
390,0.1403,test,0.14021146
391,0.1482,train,0.1303819
392,0.7594,train,0.77198505
393,0.7444,train,0.6984489
394,0.76,test,0.5182309
395,0.7456,train,0.7262793
396,0.7602,train,0.75709736
397,0.7605,train,0.7436751
398,0.7413,test,0.7285691
399,0.7461,train,0.73178077
400,0.7619,train,0.77100444
401,0.7409,train,0.72039557
402,0.743,train,0.70612484
403,0.7764,train,0.7664187
404,0.7827,train,0.7931766
405,0.7754,train,0.77080214
406,0.1887,train,0.21853596
407,0.1891,train,0.20064607
408,0.1943,train,0.1973247
409,0.2001,train,0.23741797
410,0.2014,test,0.18306112
411,0.2004,test,0.18650892
412,0.1994,train,0.1851494
413,0.2019,test,0.23205778
414,0.1989,train,0.19705647
415,0.2526,test,0.2842139
416,0.2518,train,0.269919
417,0.2548,train,0.27312693
418,0.2552,train,0.27899155
419,0.2632,train,0.25948775
420,0.262,test,0.2868832
421,0.263,train,0.24963376
422,0.2694,test,0.28785685
423,0.2674,train,0.24778762
424,0.2691,train,0.26088348
425,0.2675,test,0.25977808
426,0.2707,train,0.26089627
427,0.2677,test,0.2719439
428,0.2683,test,0.3305643
429,0.2724,train,0.26766953
430,0.4943,train,0.52462274
431,0.4936,train,0.5187329
432,0.4918,train,0.5184933
433,0.4948,test,0.49746218
434,0.4938,train,0.48778033
435,0.4952,test,0.4488651
436,0.4936,train,0.5049672
437,0.4935,train,0.4975082
438,-0.3701,test,-0.37007627
439,-0.3661,train,-0.37465873
440,-0.3564,train,-0.35191503
441,-0.3603,train,-0.36842585
442,-0.3691,train,-0.35912067
443,-0.36,train,-0.36974764
444,-0.355,train,-0.33622345
445,-0.3683,train,-0.3545344
446,-0.3581,train,-0.35854346
447,-0.3542,test,-0.2585634
448,-0.3618,train,-0.36116827
449,-0.3633,train,-0.37231842
450,-0.3686,train,-0.39022654
451,-0.3629,test,-0.3709233
452,-0.3609,train,-0.3690178
453,-0.3508,train,-0.35711074
454,-0.3487,train,-0.36771962
455,-0.349,train,-0.3686973
456,-0.3615,train,-0.38345954
457,-0.3365,train,-0.36475527
458,-0.3356,train,-0.36254066
459,-0.3551,train,-0.38066295
460,-0.3562,train,-0.37945262
461,-0.3512,test,-0.36937457
462,-0.3543,test,-0.31973103
463,-0.3727,train,-0.38579014
464,-0.3524,test,-0.37843633
465,-0.3696,train,-0.37093854
466,-0.3722,train,-0.39823985
467,-0.3688,train,-0.38230032
468,-0.3492,train,-0.37985462
469,-0.3473,train,-0.3572941
470,-0.3488,train,-0.37296352
471,-0.3386,test,-0.35823044
472,-0.3728,train,-0.38193887
473,-0.3715,train,-0.39478993
474,-0.3696,train,-0.38040063
475,-0.3708,train,-0.37325576
476,-0.3571,train,-0.34589216
477,-0.3569,train,-0.36112383
478,-0.3583,train,-0.37743607
479,-0.352,test,-0.32812786
480,-0.3534,train,-0.35900027
481,-0.2518,test,-0.22803926
482,-0.2515,train,-0.2538601
483,-0.2524,train,-0.27420148
484,-0.2527,train,-0.25965536
485,-0.2529,test,-0.27207494
486,-0.2438,test,-0.19410044
487,-0.3913,train,-0.38193682
488,-0.4001,train,-0.40260497
489,-0.3679,train,-0.35068214
490,-0.3623,test,-0.40276045
491,-0.3741,train,-0.38504082
492,-0.3848,train,-0.4115917
493,-0.1014,test,-0.17479286
494,-0.0923,test,-0.22762796
495,-0.3166,train,-0.31723508
496,-0.3219,train,-0.32967263
497,-0.2957,test,-0.36731353
498,-0.3099,train,-0.3243168
499,-0.3038,train,-0.30903062
500,-0.6457,train,-0.6180572
501,-0.3284,train,-0.34356403
502,-0.2002,train,-0.21632281
503,-0.1908,train,-0.20764798
504,-0.1912,train,-0.19763222
505,-0.1806,train,-0.19546604
506,-0.178,test,-0.20337021
507,-0.1934,train,-0.19065651
508,-0.1899,train,-0.19747835
509,-0.1931,train,-0.1993613
510,-0.3679,train,-0.36437824
511,-0.3881,train,-0.44845572
512,-0.3682,train,-0.3714973
513,-0.3614,test,-0.38370523
514,-0.3509,test,-0.36981687
515,-0.3623,train,-0.36758807
516,-0.3471,train,-0.36128765
517,-0.3625,train,-0.3823344
518,-0.341,train,-0.35918307
519,-0.3618,train,-0.38543084
520,-0.3783,train,-0.4123486
521,-0.3757,train,-0.39819807
522,-0.3756,test,-0.38375485
523,-0.3643,train,-0.3732582
524,-0.3546,train,-0.36856982
525,-0.3548,train,-0.34884605
526,-0.3587,train,-0.3691569
527,-0.3606,train,-0.38019133
528,-0.3623,train,-0.36012417
529,-0.3618,test,-0.3633022
530,-0.361,train,-0.36936826
531,-0.3429,train,-0.34790078
532,-0.3543,test,-0.39643025
533,-0.3615,train,-0.36412978
534,-0.2374,test,-0.23947498
535,-0.2355,train,-0.2431153
536,-0.2344,test,-0.22059146
537,-0.2346,train,-0.2427136
538,-0.219,test,-0.16211039
539,-0.2186,train,-0.21181813
540,-0.2189,train,-0.22064993
541,-0.2182,train,-0.22935903
542,-0.2166,test,-0.18205434
543,-0.067,test,-0.048174873
544,-0.0654,train,-0.062582746
545,-0.0568,train,-0.057031795
546,-0.06,train,-0.057811014
547,-0.0592,train,-0.0728514
548,-0.0598,test,-0.06194096
549,-0.0531,test,-0.102383226
550,-0.0558,train,-0.053795777
551,-0.0482,train,-0.04482945
552,-0.0425,train,-0.07899037
553,-0.0436,test,0.05489524
554,-0.1027,test,-0.13199079
555,-0.1041,train,-0.12449341
556,-0.1052,train,-0.1259495
557,-0.1069,train,-0.10804371
558,-0.1081,test,-0.12292557
559,-0.1069,train,-0.10830229
560,-0.0967,test,-0.1291165
561,-0.102,test,-0.08071226
562,-0.0935,train,-0.10640555
563,-0.0962,train,-0.11871385
564,-0.0925,train,-0.11314017
565,-0.0891,train,-0.123718135
566,-0.1012,train,-0.11721403
567,-0.1334,test,-0.17133415
568,-0.133,train,-0.16145611
569,-0.1342,train,-0.1806759
570,-0.1085,train,-0.121536724
571,-0.105,train,-0.11324128
572,-0.1056,train,-0.1211263
573,-0.1063,test,-0.13479125
574,-0.0951,train,-0.12246982
575,-0.1025,test,-0.118329965
576,-0.0968,train,-0.100150146
577,-0.0939,train,-0.11915403
578,-0.0898,train,-0.093563944
579,-0.0672,test,-0.11513092
580,-0.0694,train,-0.067748666
581,-0.0684,test,-0.02240884
582,-0.0597,train,-0.06278049
583,-0.0598,train,-0.060162112
584,-0.0601,test,-0.07145119
585,-0.0599,test,-0.0822814
586,-0.0592,train,-0.04126174
587,0.0509,train,0.046970338
588,0.0505,train,0.049649768
589,0.0509,train,0.048071526
590,0.0514,test,0.03710925
591,0.0514,train,0.056456283
592,0.0593,train,0.054664552
593,0.0027,train,0.016566943
594,0.0031,train,-0.0020199083
595,0.0116,train,0.0036664195
596,0.0146,test,0.0583676
597,0.0118,test,0.015032376
598,0.013,test,-0.027758319
599,0.2338,test,0.3287117
600,0.2353,train,0.25227752
601,0.1888,train,0.20103174
602,0.1677,train,0.17886475
603,0.1707,train,0.22073415
604,0.1734,train,0.20916209
605,0.1712,train,0.2047053
606,0.1702,train,0.22504908
607,-0.2491,train,-0.24955598
608,-0.2495,train,-0.2310757
609,-0.1167,train,-0.13610512
610,-0.1175,test,-0.10903589
611,-0.1096,train,-0.1471043
612,0.2532,train,0.2254141
613,0.2339,test,0.20237005
614,0.2493,test,-0.082649596
615,0.2325,test,0.23689386
616,0.2418,train,0.2441324
617,0.2417,test,0.24270397
618,0.2365,train,0.20773798
619,0.2459,train,0.23863068
620,0.2456,train,0.2513844
621,0.2369,test,0.23114061
622,0.2303,test,0.18814173
623,0.151,train,0.15773624
624,0.1604,train,0.07775284
625,0.151,train,0.1279408
626,0.1511,test,0.12785035
627,-0.1122,train,-0.12675524
628,-0.1119,test,-0.12552416
629,-0.112,train,-0.13004881
630,-0.1128,train,-0.109889545
631,-0.1126,train,-0.10879824
632,-0.1052,train,-0.095103204
633,-0.1132,train,-0.12875977
634,-0.0946,train,-0.099246696
635,-0.102,train,-0.10882097
636,-0.1011,test,-0.10528115
637,-0.0897,train,-0.09551719
638,-0.0871,test,-0.07256554
639,-0.0869,train,-0.086442016
640,-0.086,train,-0.07150343
641,-0.0765,train,-0.070694484
642,-0.0762,train,-0.07581284
643,-0.0776,test,-0.077441275
644,-0.0755,test,-0.07494957
645,-0.0757,train,-0.07867277
646,-0.0756,train,-0.08557134
647,-0.0758,train,-0.0866157
648,-0.076,train,-0.08467086
649,-0.0757,test,-0.08556079
650,-0.0758,train,-0.085503116
651,-0.0699,test,-0.03010711
652,-0.0645,train,-0.08384927
653,-0.0582,train,-0.07317824
654,0.1027,train,0.108844
655,0.0992,train,0.13104954
656,0.0991,train,0.11233456
657,0.0992,train,0.12018465
658,0.103,train,0.11801114
659,0.103,train,0.11514091
660,0.1041,test,0.14614607
661,0.1026,train,0.117880836
662,0.01,train,-0.008559527
663,0.0115,train,0.013328332
664,0.0188,train,0.024552232
665,0.0164,train,0.01571359
666,0.0166,test,0.006514284
667,0.0166,train,0.010964627
668,0.0205,test,0.02455498
669,0.0264,train,0.027749509
670,0.0175,train,0.022057151
671,0.0276,train,0.021797989
672,0.0302,train,0.036352795
673,0.0343,test,0.026712619
674,-0.0395,train,-0.057936735
675,-0.0406,train,-0.0524038
676,-0.042,test,-0.038646206
677,-0.043,train,-0.03788304
678,-0.0437,train,-0.043528907
679,-0.0428,train,-0.03699431
680,-0.034,train,-0.051952936
681,-0.0293,train,-0.055165045
682,-0.0296,train,-0.049704514
683,-0.0283,train,-0.033412218
684,-0.0303,train,-0.04978174
685,-0.0286,train,-0.056625158
686,-0.0366,train,-0.052658528
687,-0.08,train,-0.110444315
688,-0.0802,train,-0.10765309
689,-0.0793,train,-0.09712245
690,-0.0426,train,-0.04800547
691,-0.0422,train,-0.040426366
692,-0.0425,train,-0.04761537
693,-0.0399,train,-0.039323002
694,-0.0328,train,-0.05126726
695,-0.0332,train,-0.054243125
696,-0.0309,train,-0.04773689
697,-0.0325,train,-0.054772153
698,-0.0332,train,-0.049651846
699,-0.0315,train,-0.037522588
700,-0.0287,test,-0.033481803
701,0.0075,train,0.000931995
702,0.0076,train,0.021694178
703,0.0071,train,0.031816028
704,0.0081,train,0.009529832
705,0.0149,test,-0.011913657
706,0.015,test,0.04318835
707,0.0153,train,0.0267102
708,0.1266,train,0.12266212
709,0.1265,train,0.14699504
710,0.1279,test,0.09962998
711,0.1272,test,0.13355699
712,0.1273,train,0.14379811
713,0.1328,train,0.13562664
714,0.1442,test,0.1476453
715,0.1023,train,0.11190856
716,0.1025,train,0.11230006
717,0.1078,train,0.108388305
718,0.1104,test,0.1621944
719,0.1088,train,0.1120375
720,0.1084,train,0.09327503
721,0.3193,train,0.36958703
722,0.3215,train,0.33697277
723,0.3161,train,0.3296538
724,0.2944,test,0.2979265
725,0.2886,train,0.29116878
726,0.2906,train,0.28457662
727,0.2967,train,0.28759617
728,0.2973,train,0.31337452
729,0.2967,train,0.31618434
730,0.2949,train,0.31021258
731,-0.1512,train,-0.14508653
732,-0.1505,train,-0.12733036
733,-0.0649,train,-0.07893151
734,-0.0648,train,-0.073474504
735,-0.0566,train,-0.062210836
736,0.364,test,0.39972958
737,0.3438,test,0.3403487
738,0.3629,train,0.31734306
739,0.3431,test,0.29599288
740,0.3565,train,0.35251954
741,0.3531,train,0.37306416
742,0.3429,train,0.34202975
743,0.3563,train,0.35698926
744,0.3562,train,0.382457
745,0.3426,test,0.3278702
746,0.3412,train,0.33882436
747,0.3431,train,0.33253616
748,0.2892,train,0.3350742
749,0.2959,train,0.23940513
750,0.2892,train,0.2832521
751,-0.0506,train,-0.04646995
752,-0.0496,train,-0.05465269
753,-0.0493,train,-0.050009727
754,-0.0481,train,-0.041235738
755,-0.0422,train,-0.028209403
756,-0.0507,train,-0.052374974
757,-0.0337,train,-0.04848688
758,-0.0397,train,-0.035422325
759,-0.0402,test,-0.053501666
760,-0.0381,train,-0.033199698
761,-0.0399,train,-0.038253784
762,-0.0192,test,-0.042642675
763,-0.0177,train,-0.025861073
764,-0.015,train,-0.008353382
765,-0.0159,train,-0.032444086
766,-0.0077,train,-0.028184317
767,-0.0079,test,0.0358728
768,-0.0047,train,-0.0096732415
769,-0.0048,train,-0.009408912
770,-0.0049,train,-0.018514253
771,-0.0049,test,-0.017769277
772,-0.005,test,-0.0034466963
773,-0.003,train,-0.016077429
774,-0.0038,train,-0.018003166
775,-0.002,train,-0.0055613425
776,0.0038,train,0.003047306
777,0.0099,test,-0.036124196
778,0.1856,test,0.20175236
779,0.1829,train,0.20587716
780,0.1818,train,0.21100375
781,0.1834,train,0.19255838
782,0.1843,train,0.21081093
783,0.1877,test,0.07287432
784,0.183,train,0.20999789
785,0.1474,train,0.16872665
786,0.1489,train,0.17278004
787,0.1527,train,0.1743761
788,0.1516,train,0.1619255
789,0.1514,train,0.14736405
790,0.1515,train,0.16206685
791,0.1522,train,0.15007555
792,0.1616,train,0.15819833
793,0.1539,train,0.17384613
794,0.1614,train,0.16257504
795,0.163,train,0.15157217
796,0.1669,test,0.17920884
797,0.0731,train,0.07147303
798,0.071,train,0.06791344
799,0.0703,train,0.069844
800,0.0704,train,0.089862846
801,0.0697,train,0.0911209
802,0.0712,train,0.094460614
803,0.0756,test,0.04928722
804,0.0787,train,0.06359018
805,0.0811,train,0.09123744
806,0.0788,train,0.06485125
807,0.0824,train,0.07482521
808,0.0738,train,0.06764224
809,0.0156,train,-0.010123499
810,0.0147,train,-0.006800806
811,0.0178,train,-0.006070733
812,0.0724,train,0.09619667
813,0.0696,train,0.08669776
814,0.0743,train,0.08860411
815,0.0739,train,0.08718149
816,0.0773,test,0.038525987
817,0.072,test,0.05819329
818,0.0779,train,0.057300262
819,0.078,train,0.074891716
820,0.081,train,0.090573475
821,0.1436,train,0.1635176
822,0.1433,train,0.16100779
823,0.143,train,0.15945366
824,0.1453,train,0.16620675
825,0.1488,train,0.14985335
826,0.1484,train,0.16527325
827,0.1537,train,0.14475888
828,0.1478,train,0.15813446
829,0.2627,train,0.28009066
830,0.2623,train,0.26041666
831,0.265,train,0.27560842
832,0.2623,train,0.24952647
833,0.2658,train,0.257639
834,0.2745,train,0.27039897
835,0.2791,train,0.31544003
836,0.2792,train,0.3237505
837,0.2785,train,0.28567877
838,0.28,train,0.3107343
839,0.2812,test,0.33252883
840,0.2789,train,0.30182958
841,0.4663,train,0.52775866
842,0.467,train,0.48090473
843,0.4606,train,0.46856463
844,0.5228,train,0.52779996
845,0.5005,train,0.5044886
846,0.5012,train,0.4881253
847,0.5058,train,0.48565605
848,0.5086,train,0.5370414
849,0.506,test,0.50854445
850,0.5095,train,0.5193116
851,0.0222,train,0.03694859
852,0.0226,train,0.08348285
853,0.028,train,0.025560522
854,0.0375,train,0.023423005
855,0.5581,test,0.5226603
856,0.5574,train,0.55280095
857,0.539,test,0.5076813
858,0.5464,test,0.51802236
859,0.5468,train,0.57404107
860,0.5345,train,0.51329947
861,0.5483,train,0.56993806
862,0.5487,train,0.581764
863,0.534,train,0.51274437
864,0.5361,test,0.5081559
865,0.5347,train,0.512431
866,0.5174,train,0.5465369
867,0.5323,test,0.5832989
868,0.5173,train,0.5390855
869,0.5173,test,0.5576231
870,0.0603,train,0.08129468
871,0.0605,train,0.07243763
872,0.0611,train,0.08931222
873,0.0615,test,0.08355357
874,0.0653,train,0.09286055
875,0.0623,train,0.085480615
876,0.0746,train,0.0613053
877,0.0695,train,0.07986341
878,0.0691,train,0.07036164
879,0.0696,train,0.08788807
880,0.0695,train,0.085787706
881,0.1076,train,0.10473568
882,0.1079,train,0.111056805
883,0.1096,train,0.10867311
884,0.1104,train,0.12667722
885,0.1148,train,0.112118036
886,0.1145,test,0.09538157
887,0.1138,train,0.09789382
888,0.1212,train,0.10370703
889,0.12,train,0.105661586
890,0.1198,test,0.117393225
891,0.1197,train,0.10818098
